iter	RMSE
0	60.01009553
1	57.68498941
2	55.44994324
3	53.3162652
4	51.25300627
5	49.27512192
6	47.37934256
7	45.54952515
8	43.79947914
9	42.10409314
10	40.48217981
11	38.91911359
12	37.42531928
13	35.98631346
14	34.6003663
15	33.27312321
16	32.00002551
17	30.80152504
18	29.62439199
19	28.49683097
20	27.41434351
21	26.374503
22	25.38230511
23	24.4250736
24	23.50111659
25	22.62270395
26	21.77451179
27	20.95969657
28	20.17583986
29	19.42950097
30	18.71328073
31	18.02361378
32	17.36448005
33	16.72516932
34	16.11403216
35	15.53125978
36	14.96934016
37	14.43100135
38	13.91526627
39	13.42206031
40	12.9464633
41	12.49082733
42	12.05666579
43	11.64187692
44	11.24247182
45	10.86055649
46	10.4939106
47	10.14584767
48	9.812737661
49	9.492995313
50	9.187724559
51	8.894578272
52	8.616248732
53	8.351019675
54	8.096419963
55	7.854321714
56	7.625837747
57	7.404082443
58	7.192226795
59	6.992845915
60	6.801592714
61	6.619024106
62	6.445239325
63	6.280253652
64	6.124342457
65	5.976153965
66	5.836073483
67	5.701598534
68	5.573434114
69	5.454287612
70	5.33921697
71	5.232414838
72	5.131272456
73	5.035522893
74	4.945810005
75	4.859937442
76	4.779549969
77	4.704044089
78	4.630785709
79	4.562964503
80	4.498508847
81	4.438697423
82	4.381373064
83	4.328119476
84	4.277337749
85	4.230045323
86	4.186016734
87	4.143759799
88	4.103992975
89	4.067048872
90	4.031487561
91	3.998422235
92	3.967652284
93	3.939053353
94	3.911787663
95	3.885663454
96	3.861670598
97	3.83893682
98	3.817775917
99	3.797751937
100	3.778628367
101	3.761104098
102	3.744184193
103	3.728419286
104	3.713797151
105	3.699792843
106	3.686724191
107	3.674063031
108	3.662303482
109	3.65138095
110	3.641290357
111	3.631615788
112	3.622226665
113	3.613879392
114	3.6056053
115	3.597682473
116	3.590241449
117	3.583245659
118	3.576666054
119	3.570187486
120	3.564267091
121	3.558490258
122	3.552849228
123	3.548119602
124	3.543137517
125	3.538066594
126	3.53350698
127	3.52903924
128	3.524974578
129	3.521085506
130	3.517297542
131	3.513891983
132	3.510462147
133	3.507278557
134	3.504061781
135	3.500918642
136	3.498139913
137	3.495351221
138	3.492616229
139	3.489940275
140	3.487165013
141	3.484596568
142	3.482100878
143	3.479838885
144	3.477595249
145	3.475394609
146	3.473295921
147	3.471482696
148	3.469697653
149	3.467436963
150	3.46565441
151	3.463997255
152	3.462555533
153	3.460893316
154	3.459197694
155	3.45738273
156	3.455982143
157	3.454288935
158	3.452705742
159	3.451249891
160	3.449881496
161	3.448204491
162	3.446926847
163	3.445653979
164	3.444158707
165	3.442783962
166	3.441591807
167	3.440451017
168	3.43926124
169	3.438126523
170	3.436948127
171	3.43588006
172	3.434819864
173	3.433564014
174	3.432635289
175	3.43171585
176	3.430527417
177	3.429752576
178	3.428864721
179	3.42784457
180	3.426893381
181	3.425841744
182	3.424904661
183	3.424132719
184	3.423112002
185	3.421966939
186	3.421083728
187	3.420233666
188	3.419222269
189	3.418389786
190	3.417562185
191	3.416349321
192	3.415280235
193	3.414481892
194	3.413571396
195	3.412626433
196	3.411701032
197	3.410903986
198	3.409958121
199	3.409297889
200	3.408539471
201	3.407575732
202	3.406647722
