iter	Passed	Remaining
0	509	2037673
1	820	1639604
2	1121	1493574
3	1453	1451893
4	1733	1385014
5	2019	1344488
6	2323	1325398
7	2636	1315516
8	2929	1299018
9	3142	1254021
10	3436	1246089
11	3735	1241563
12	4011	1230142
13	4309	1227086
14	4601	1222589
15	4888	1217287
16	5184	1214662
17	5299	1172475
18	5597	1172775
19	5933	1180766
20	6242	1182747
21	6550	1184418
22	6811	1177814
23	7077	1172519
24	7372	1172236
25	7637	1167364
26	7904	1163132
27	8167	1158673
28	8475	1160600
29	8741	1156811
30	8991	1151217
31	9243	1146213
32	9522	1144778
33	9773	1140038
34	10035	1136908
35	10328	1137241
36	10576	1132854
37	10832	1129420
38	11081	1125449
39	11335	1122258
40	11599	1120068
41	11863	1117983
42	12116	1115039
43	12378	1112941
44	12617	1108920
45	12858	1105247
46	13097	1101610
47	13353	1099423
48	13612	1097627
49	13853	1094444
50	14098	1091672
51	14328	1087870
52	14562	1084502
53	14802	1081659
54	15038	1078669
55	15268	1075368
56	15507	1072770
57	15772	1072019
58	16004	1069075
59	16232	1065960
60	16502	1065613
61	16766	1064957
62	17049	1065479
63	17289	1063330
64	17515	1060353
65	17760	1058646
66	17998	1056520
67	18252	1055442
68	18506	1054311
69	18756	1053029
70	19000	1051445
71	19226	1048907
72	19451	1046396
73	19674	1043802
74	19907	1041805
75	20149	1040345
76	20397	1039210
77	20638	1037757
78	20861	1035437
79	21085	1033189
80	21325	1031766
81	21569	1030598
82	21802	1028904
83	22035	1027275
84	22263	1025407
85	22526	1025216
86	22752	1023324
87	22975	1021353
88	23195	1019316
89	23425	1017706
90	23655	1016139
91	23875	1014208
92	24099	1012424
93	24326	1010832
94	24562	1009633
95	24816	1009186
96	25066	1008604
97	25282	1006661
98	25498	1004760
99	25738	1003820
100	26005	1003932
101	26255	1003362
102	26472	1001570
103	26711	1000661
104	26972	1000535
105	27232	1000418
106	27517	1001171
107	27808	1002150
108	28065	1001850
109	28332	1001950
110	28585	1001535
111	28891	1002932
112	29141	1002419
113	29399	1002176
114	29679	1002647
115	29950	1002816
116	30223	1003072
117	30472	1002483
118	30761	1003234
119	31006	1002540
120	31252	1001885
121	31478	1000602
122	31712	999589
123	31940	998396
124	32182	997655
125	32408	996427
126	32694	997057
127	33087	1000908
128	33460	1004084
129	33807	1006432
130	34167	1009105
131	34494	1010788
132	34854	1013400
133	35286	1018049
134	35679	1021479
135	36018	1023350
136	36408	1026625
137	36725	1027792
138	37093	1030333
139	37452	1032627
140	37778	1033939
141	38132	1036028
142	38582	1040647
143	39013	1044705
144	39373	1046804
145	39700	1047987
146	40044	1049607
147	40411	1051787
148	40758	1053440
149	41133	1055755
150	41516	1058257
151	41930	1061509
152	42356	1065000
153	42740	1067392
154	43097	1069101
155	43449	1070629
156	43893	1074420
157	44230	1075533
158	44590	1077186
159	44939	1078544
160	45284	1079788
161	45733	1083499
162	46093	1085029
163	46432	1086061
164	46789	1087512
165	47152	1089053
166	47508	1090424
167	47885	1092242
168	48254	1093871
169	48621	1095415
170	49016	1097570
171	49374	1098858
172	49747	1100485
173	50117	1102007
174	50437	1102429
175	50721	1102046
176	51086	1103413
177	51353	1102652
178	51614	1101786
179	51948	1102471
180	52218	1101778
181	52480	1100945
182	52752	1100302
183	53013	1099461
184	53304	1099217
185	53553	1098130
186	53803	1097068
187	54120	1097389
188	54381	1096547
189	54660	1096085
190	54906	1094959
191	55183	1094474
192	55455	1093890
193	55719	1093144
194	56045	1093612
195	56320	1093082
196	56562	1091920
197	56817	1091004
198	57114	1090914
199	57379	1090208
200	57635	1089347
201	57880	1088274
202	58137	1087421
203	58378	1086289
204	58624	1085260
205	58859	1084046
206	59138	1083640
207	59385	1082647
208	59666	1082273
209	59933	1081663
210	60171	1080527
211	60416	1079509
212	60674	1078759
213	60954	1078388
214	61222	1077797
215	61462	1076730
216	61713	1075865
217	62014	1075864
218	62297	1075553
219	62619	1075917
220	62872	1075095
221	63153	1074755
222	63437	1074461
223	63686	1073573
224	63938	1072740
225	64189	1071916
226	64440	1071078
227	64708	1070534
228	64966	1069818
229	65210	1068885
230	65472	1068243
231	65733	1067597
232	65974	1066634
233	66211	1065616
234	66447	1064571
235	66685	1063569
236	66922	1062567
237	67157	1061541
238	67418	1060927
239	67665	1060085
240	67953	1059901
241	68283	1060362
242	68562	1060041
243	68843	1059739
244	69090	1058920
245	69345	1058230
246	69613	1057730
247	69870	1057065
248	70119	1056305
249	70378	1055670
250	70655	1055329
251	70922	1054828
252	71177	1054159
253	71418	1053279
254	71479	1049761
255	71732	1049086
256	72127	1050486
257	72402	1050123
258	72665	1049585
259	72932	1049108
260	73194	1048554
261	73504	1048704
262	73808	1048752
263	74068	1048183
264	74329	1047622
265	74597	1047173
266	74860	1046641
267	75117	1046041
268	75378	1045492
269	75732	1046224
270	76016	1045991
271	76294	1045682
272	76534	1044843
273	76781	1044110
274	77029	1043403
275	77328	1043379
276	77626	1043336
277	77890	1042838
278	78142	1042183
279	78393	1041515
280	78649	1040919
281	78934	1040698
282	79219	1040488
283	79477	1039923
284	79770	1039809
285	80020	1039149
286	80282	1038641
287	80538	1038053
288	80800	1037544
289	81060	1037009
290	81303	1036267
291	81552	1035604
292	81798	1034910
293	82050	1034282
294	82318	1033867
295	82579	1033356
